,id_,gold_label,sentence1,sentence2,gold_label,CLASS,CLASS2.0,CLASS2
568111,0,entailment,"A man wearing a blue shirt, black apron, eyeglasses, and a mask is handling food in a tray.",A person in appropriate institution protection works with meals.,entailment,Entailment,Neutral,Entailment
568812,1,entailment,A man dressed in a red shirt and black tie stands up at a wedding reception to make a speech.,a guy in a red top and tie makes a speech,entailment,Entailment,Entailment,Entailment
560781,2,contradiction,A young boy runs across a road in front of a sky blue building with barred windows.,A boy sleeps in his bed.,contradiction,Neutral,Neutral,Contradiction
565799,3,contradiction,An Asian woman is standing on a path with a basket on her head looking into a mirror she is holding in her hand.,Nobody is standing,contradiction,Contradiction,Entailment,Entailment
562665,4,neutral,A child in a maroon shirt playing next to a fountain.,The child is getting wet from the fountain.,neutral,Neutral,Contradiction,Neutral
566038,5,neutral,man dressed in orange clothing with face covered seemingly balancing on a cane being held be a similarly dressed man sitting crossed legged on the ground at a shopping mall.,Two clowns are performing at a mall.,neutral,Neutral,Neutral,Neutral
559216,6,neutral,An old man with a package poses in front of an advertisement.,A man poses in front of an ad for beer.,neutral,Neutral,Contradiction,Contradiction
560744,7,entailment,People dressed in traditional Japanese garb walk in a procession through a courtyard paved with paving stones.,People dressed in Japanese clothing walk through a courtyard.,entailment,Entailment,Entailment,Entailment
568225,8,neutral,Two children play in the snow by the side of the road.,Kids are enjoying the cold weather.,neutral,Neutral,Neutral,Neutral
564069,9,entailment,"Blond-haired girl wearing a bicycle helmet, a black t-shirt that reads ""Twizzlers"" and a printed dog tag necklace around her neck.",a girl with a helmet wears a dog tag,entailment,Contradiction,Entailment,Entailment
561068,10,neutral,A fat woman wearing faint blue top is blowing soap bubble.,A fat woman is wearing pants.,neutral,Entailment,Entailment,Entailment
562353,11,contradiction,A father and his daughter are riding a lawn mover down a street while dressed in American colors.,two men cut grass by hand,contradiction,Neutral,Entailment,Neutral
566709,12,entailment,"Two men are drumming, one is standing and one is sitting down.",Two people are drumming.,entailment,Entailment,Entailment,Entailment
559873,13,contradiction,Three men are carrying a red bag into a boat with another person and boat in the background.,A person drives away in a winnebago.,contradiction,Neutral,Neutral,Neutral
565838,14,neutral,A woman wearing a red coat stands on a wood floor in front of several paintings while two girls sit on the floor at her feet.,Woman takes a break at a museum while her children sit by her feet.,neutral,Neutral,Entailment,Entailment
559578,15,neutral,The sun breaks through the trees as a child rides a swing.,The child on the swing is a girl.,neutral,Entailment,Entailment,Entailment
564232,16,entailment,A man wearing a shite short-sleeved shirt kisses a woman wearing a light pink jacket while standing on a public street.,A man is kissing a woman,entailment,Contradiction,Entailment,Entailment
562681,17,contradiction,Someone splashing in the water.,Someone is having a picnic near the lake.,contradiction,Neutral,Neutral,Entailment
567445,18,contradiction,An elderly lady holding a scruffy dog and smiling contently.,a woman holding a scruffy cat,contradiction,Entailment,Entailment,Entailment
564974,19,entailment,"An Asian woman in a purple shirt preparing a bowl of food for the younger Asian boy sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks.",A woman is preparing food for a child.,entailment,Entailment,Entailment,Entailment
565004,20,entailment,A woman is holding a microphone in one hand and her mouth is open.,A woman standing at a microphone,entailment,Entailment,Entailment,Entailment
562944,21,entailment,A young girl in a white t-shirt and a blue skirt wearing a light colored hat stands in a river next to a big rock.,A girl is wearing a hat.,entailment,Contradiction,Entailment,Entailment
565782,22,neutral,A gymnast using a set of paralleled bars.,A young gymnast is performing.,neutral,Neutral,Contradiction,Neutral
566854,23,contradiction,"A guy with a football, a crowd watching him.",There is a guy with a basketball.,contradiction,Neutral,Neutral,Neutral
566880,24,entailment,Seven young girls are being creative and making posters.,Girls are making posters.,entailment,Contradiction,Entailment,Entailment
559430,25,neutral,"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",An old woman has a light jean jacket.,neutral,Neutral,Neutral,Entailment
566795,26,entailment,A man is throwing a small white ball at some red cups.,The man playing a game.,entailment,Neutral,Entailment,Entailment
566533,27,entailment,Several street vehicles pass by a traditional architecture style of Thailand.,Vehicles are going down a street in Thailand.,entailment,Entailment,Entailment,Entailment
567628,28,entailment,Man and a woman at the side of a table covered in books.,People near a lot of reading materials.,entailment,Entailment,Entailment,Entailment
568895,29,neutral,A group of people wait to cross the street in new york,Some of the people are wearing sunglasses.,neutral,Neutral,Contradiction,Neutral
567310,30,neutral,Two guys in blue shirts talking.,Two men complimenting each other on their blue shirts.,neutral,Neutral,Neutral,Contradiction
562478,31,contradiction,The child is hanging upside down with his legs over a pole.,There is an adult upside down.,contradiction,Entailment,Entailment,Entailment
563037,32,contradiction,"Four young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court.",A group of women playing basketball in a gym.,contradiction,Neutral,Neutral,Entailment
565514,33,entailment,A group of people celebrating in the street.,There is a celebration going on,entailment,Neutral,Contradiction,Contradiction
565228,34,contradiction,A man and a woman stand in front of a Christmas tree contemplating a single thought.,Two people talk loudly in front of a cactus.,contradiction,Neutral,Neutral,Contradiction
567306,35,neutral,A casually dressed young blond woman is looking away sadly as couple near her are kissing.,A woman looks away after recognizing her ex-boyfriend kissing his new girl.,neutral,Neutral,Neutral,Contradiction
567859,36,entailment,Girls giving a presentation for a school class.,The girls are inside a school.,entailment,Contradiction,Entailment,Entailment
564575,37,neutral,A man and a child painting a post.,The father and son are repairing the sign.,neutral,Neutral,Neutral,Contradiction
560760,38,neutral,A young boy holding a red toy wearing green snowman and reindeer pajamas with an older woman on a couch behind him.,The older woman behind the young boy is his mother.,neutral,Entailment,Entailment,Contradiction
564581,39,entailment,A lady with blue jeans and a brown shirt is speaking on her cellphone on the second floor of the mall.,the lady is talking on her phne,entailment,Contradiction,Neutral,Contradiction
562440,40,neutral,A person obscured in shadow in a gymnasium.,The person is trying to be sneaky.,neutral,Contradiction,Contradiction,Contradiction
564139,41,neutral,African woman walking through field.,The african woman is looking for someone in the fields.,neutral,Entailment,Neutral,Entailment
