,SUB,SUBM,AT,VERB,VERBM,OBJ,IOBJ,TIME,MANNER,CAUSE,PURPOSE,COMPANY,INSTRUMENT,SUBJECT,MATTER,CONCESSION,QUANTITY,OWNERCHIP,DOUBT,AC,RC,PC
0,guy,in a red top and tie,,makes,a speech,,,,,,,,,,,,,,,,,
1,boy,,,sleeps,,,,,,,,,,,,,,,,,,
2,Nobody,,,is,,standing,,,,,,,,,,,,,,,,
3,child,,,getting,,wet,,,,,,,,,,,,,,,,
4,Two clowns,,,are performing,,,at a mall,,,,,,,,,,,,,,,
5,man,,,poses,,,,,,,,,,,an ad for beer,,,,,,,
6,People,,,walk,,,,,,,,,,,,,,,,,,dressed in Japanese clothing
7,Kids,,,enjoying,,,,,cold weather,,,,,,,,,,,,,
8,girl,with a helmet,,wears,a dog tag,dog tag,,,,,,,,,,,,,,,,
9,two men,,,cut,by hand,grass,,,,,,,hand,,,,,,,,,
10,Two people,,,are drumming,,,,,,,,,,,,,,,,,,
11,person,,,drives,,away,,,,,,,,,,,,,,,,in a winnebago
12,woman,,,takes,,a break,,while,,,,,,,,,,,,,,by her feet
13,child,on the swing,,is,,girl,,,,,,,,,,,,,,,,
14,man,,,kissing,,woman,,,,,,,,,,,,,,,,
15,Someone,,,having,,a picnic,,,,,,,,,,,,,,,,
16,woman,holding,scruffy,,,cat,,,,,,,,,,,,,,,,
17,woman,,,preparing,,food,child,,,,,,,,,,,,,,,
18,woman,standing at,,standing,at,microphone,,,,,,,,,,,,,,,,
19,girl,,,wearing,,hat,,,,,,,,,,,,,,,,
20,gymnast,young,,performing,,,,,,,,,,,,,,,,,,
21,guy,with a basketball,,is,,,,,,,,,,,,,,,,,,
22,girls,,,making,,posters,,,,,,,,,,,,,,,,
23,woman,old,light jean jacket,has,a,jean jacket,,,,,,,,,,,,,,,,
24,man,,,playing,,game,,,,,,,,,,,,,,,,
25,Vehicles,,,are going,,,,,,,,,,,,,,,,,,in Thailand
26,People,near,a lot of reading materials,reading,a lot of,materials,,,,,,,,,,,,,,,,
27,two men,,,complimenting,,each other,,,,,,,,,,,,,,,,on their blue shirts
28,There,is,an adult,upside down,,,,,,,,,,,,,,,,,,
29,group,of women,,playing,basketball,,,,,,,,,,,,,,,,,
30,celebration,a,none,going,on,none,,,,,,,,,,,,,,,,
31,two people,,,talk,loudly,,,,,,,,,,,,,,,,,
32,woman,,,looks,away,,,,,,,,,,,,,,,,,after recognizing her ex-boyfriend kissing his new girl
33,girls,,,are,,,,,,,,,,,,,,,,,,a school
34,father and son,,,repairing,,sign,,,,,,,,,,,,,,,,
35,woman,older,,is,,mother,his,,,,,,,,,,,,,,,boy young 
36,lady,the,,talking,is,,,,,,,,,,,,,,,,,
37,person,,,trying,,,,,,,,,,,,,,,,,,sneaky
38,african woman,,,looking,,someone,,,,,,,,,,,,,,,,
39,men,the,perfectly free,are,of,mud,,,,,,,,,,,,,,,,
40,man,,,wearing,,shirt,,,,,,,,,,,,,,,,not
41,group,of people,analyze art,analyze,together,art,none,,,,,,,,,,,,,,,none
42,girl,,,captures,,butterfly,,,,,for a science fair project,,,,,,,,,,,
43,kayak,a,none,is being ridden,none,,,,,,,,,,,,,,,,,
44,person,the,alone,is,,,,,,,,,,,,,,,,,,
45,children,young,,open,,presents,,Christmas,large,,,,,,,,,,,,,purpose tree 
46,boy,,,pitches,,ball,,,,,,,,,,,,,,,,
47,raven haired woman,,,seen,,,crowd,,,,,,,,,,,,,,,holding a white opened umbrella
48,couple,recently engaged,,embrace,,,,,,,,,,,,,,,,,,
49,person,,,rides,,skateboard,,,,,,,,,,,,,,,,
50,girl,,,jumping,,rope,,,,,,,,,,,,,,,,
51,woman,a,,rises,from,chair,,,,,,,,,,,,,,,,
52,,in nature,,,,,,,,,,,,,,,,,,,,
53,bird,,,looking,,food,,,,,,,,,,,,,,,,
54,singer,,,is,,,,,,,,American Idol,,,,,,,,,,
55,Two people,,,are,,,,,in a bike race,,,,,,,,,,,,,
56,person,the,none,is,none,woman,,,,,,,,,,,,,,,,woman
57,Women,,,looking,at,books,,,,,on sale,,,,,,,,,,,
58,dog,,,is,,,,,,,,,,,,,,,,,,
59,woman,in green,,opening,,box,,,,,,,,,,,,,,,,a half concealed man manipulates a handheld device
60,woman,the,,is,not,race,,,,,,,,,,,,,,,,finish
61,man,,,making,,pottery,,,,,,,,,,,,,,,,
62,guy,,,riding,,bus,,,,,,,,,,,,,,,,
63,woman,,,wearing,,mask,,,,,,,,,,,,,,,,
64,kids,four,,pose,on,beach,,,,,,,,,,,,,,,,
65,woman,,,putting,,mascara,,,,,,,,,,,,,,,,
66,man,,,eats,,hamburger,,,while,,,,,,,,,,,,,asks for a bite
67,boy,sitting on top of his dad's truck,,sitting,on top of,,,,,,,,,,,,,,,,,
68,couple,young,very much,love,in,,,,,,,,,,,,,,,,,in love
69,man,in red,,holding out,his,hand,,,,,,,,,,,,,,,,
70,boy,,,running,,,,,,,,,,,,,,,,,,
71,woman,,,singing,,,,,,,,,,,,,,,,,,
72,boy,,,walking,,,,,,,,,,,,,,,,,,
73,sports fans,,,are wearing,,yellow,,,,,,,,,,,,,,,,
74,wide receiver,a,wide,trying,to make,a catch,,,,,,,,,,,,,,,,
75,man,a,,damaged,has,something,,,,,,,,,,,,,,,,
76,people,there are,outside,are,,,,,,,,,,,,,,,,,,
77,women,a,observing,,,camera,,,,,,,,,,,,,,,,
78,girl,,,playing,,piano,,,,,,,,,,,,,,,,
79,boy,dressed for summer,green shirtkahki shorts,dressed,for summer,,,summer,,,,,,,,,,,,,,
80,dog,,,is,,,,,,,,,,,,,,,,,,
81,skier,preparing,a trick,,a trick,,,,,,,,,,,,,,,,,
82,Two fathers,,,maneuver,,baby strollers,foyer,,,,,,,,,,,,,,,
83,man,the,blue,has,,sunglasses,,,,,,,,,,,,,,,,
84,child,,,does,,cannonball,pool,,,,,,,,,,,,,,,
85,Laura Bush,,,is giving,,a talk,,,,,about the importance of literacy,,,,,,,,,,,to young people
86,Men,,,are,,,,,,,,,wetsuits,,,,,,,,,
87,batsman,,,is,,,,,,,,,,,,,,,,,,on a different team than the others around the pitching mound
88,boy,,,watching,,movie,,,,,,,,,,,,,,,,
89,a bunch of guys,in colorful clothes,,stand,together,,,,,,,,,,,,,,,,,
90,woman,,,holds,,baby,,,,,,,,,,,,,,,,
91,man,,,painting,,tree,,,,,,,,,,,,,,,,
92,children,the,,doing,,chores,,,,,,,,,,,,,,,,
93,one,of the men,none,is,actually,sasquatch,none,,,,,,,,,,,,,,,
