,Unnamed: 0.1,Unnamed: 0,gold_label,sentence1,sentence2,SET,relaciones,faltantes,CLASS2
0,568111,558275,entailment,"A man wearing a blue shirt, black apron, eyeglasses, and a mask is handling food in a tray.",A person in appropriate institution protection works with meals.,TEST,"[('man,NOUN', 'person,H', 1.0), ('wearing,VERB', 'appropriate,ADJ', 0.5, 0.3333333333333333, 0, None), ('mask,NOUN', 'institution,NOUN', 0.6666666666666666, 0.16666666666666666, 1.845826690498331, 5), ('mask,NOUN', 'protection,NOUN', 0.9333333333333333, 0.5, 2.9444389791664407, 1), ('handling,VERB', 'works,VERB', 0.8, 0.5, 2.5649493574615367, 1), ('food,NOUN', 'meals,NOUN', 0.8333333333333334, 0.3333333333333333, 2.538973871058276, 2)]",[],entailment
1,568812,558976,entailment,A man dressed in a red shirt and black tie stands up at a wedding reception to make a speech.,a guy in a red top and tie makes a speech,TEST,"[('red,ADJ', 'red,ADJ', 1.0), ('tie,NOUN', 'tie,NOUN', 1.0), ('make,VERB', 'make,H', 1.0), ('speech,NOUN', 'speech,NOUN', 1.0), ('man,NOUN', 'guy,NOUN', 0.9473684210526315, 0.5, 2.9444389791664407, 1), ('shirt,NOUN', 'top,NOUN', 0.8, 0.2, 2.0281482472922856, 4)]",[],entailment
2,560781,550939,contradiction,A young boy runs across a road in front of a sky blue building with barred windows.,A boy sleeps in his bed.,TEST,"[('boy,NOUN', 'boy,NOUN', 1.0), ('young,ADJ', 'sleeps,VERB', 0.4, 0.25, 0, None), ('front,NOUN', 'bed,NOUN', 0.8, 0.25, 2.2512917986064953, 3)]","['his,PRON']",contradiction
3,565799,555963,contradiction,An Asian woman is standing on a path with a basket on her head looking into a mirror she is holding in her hand.,Nobody is standing,TEST,"[('standing,VERB', 'standing,VERB', 1.0), ('head,NOUN', 'Nobody,PRON', 0.7058823529411765, 0.16666666666666666, 0, 5)]",[],entailment
4,562665,552829,neutral,A child in a maroon shirt playing next to a fountain.,The child is getting wet from the fountain.,TEST,"[('child,NOUN', 'child,NOUN', 1.0), ('fountain,NOUN', 'fountain,NOUN', 1.0), ('playing,VERB', 'getting,VERB', 0.5, 0.3333333333333333, 2.159484249353372, None), ('playing,VERB', 'wet,ADJ', 0.5, 0.3333333333333333, 0, None)]",[],entailment
5,566038,556202,neutral,man dressed in orange clothing with face covered seemingly balancing on a cane being held be a similarly dressed man sitting crossed legged on the ground at a shopping mall.,Two clowns are performing at a mall.,TEST,"[('mall,NOUN', 'mall,NOUN', 1.0), ('man,NOUN', 'clowns,NOUN', 0.6666666666666666, 0.2, 2.0281482472922856, 4), ('orange,ADJ', 'performing,VERB', 0.5, 0.3333333333333333, 0, None)]",[],neutral
6,559216,549374,neutral,An old man with a package poses in front of an advertisement.,A man poses in front of an ad for beer.,TEST,"[('man,NOUN', 'man,NOUN', 1.0), ('poses,NOUN', 'pose,H', 1.0), ('front,NOUN', 'front,NOUN', 1.0), ('ad,NOUN', 'ad,NOUN', 1.0), ('man,NOUN', 'beer,NOUN', 0.42857142857142855, 0.1111111111111111, 1.4403615823901665, 8)]",[],entailment
7,560744,550902,entailment,People dressed in traditional Japanese garb walk in a procession through a courtyard paved with paving stones.,People dressed in Japanese clothing walk through a courtyard.,TEST,"[('People,NOUN', 'People,NOUN', 1.0), ('dressed,VERB', 'dressed,VERB', 1.0), ('Japanese,ADJ', 'Japanese,ADJ', 1.0), ('garb,NOUN', 'clothing,H', 1.0), ('walk,VERB', 'walk,VERB', 1.0), ('courtyard,NOUN', 'courtyard,NOUN', 1.0)]",[],entailment
8,568225,558389,neutral,Two children play in the snow by the side of the road.,Kids are enjoying the cold weather.,TEST,"[('children,NOUN', 'kid,H', 1.0), ('snow,NOUN', 'weather,H', 1.0), ('Two,NUM', 'enjoying,VERB', 0.5, 0.3333333333333333, 0, None), ('Two,NUM', 'cold,ADJ', 0.5, 0.3333333333333333, 0, None)]",[],entailment
9,564069,554233,entailment,"Blond-haired girl wearing a bicycle helmet, a black t-shirt that reads ""Twizzlers"" and a printed dog tag necklace around her neck.",a girl with a helmet wears a dog tag,TEST,"[('girl,NOUN', 'girl,NOUN', 1.0), ('helmet,NOUN', 'helmet,NOUN', 1.0), ('shirt,NOUN', 'wear,H', 1.0), ('wearing,VERB', 'wear,H', 1.0), ('helmet,NOUN', 'wear,H', 1.0), ('dog,NOUN', 'dog,NOUN', 1.0), ('tag,NOUN', 'tag,NOUN', 1.0)]",[],entailment
10,561068,551226,neutral,A fat woman wearing faint blue top is blowing soap bubble.,A fat woman is wearing pants.,TEST,"[('fat,ADJ', 'fat,ADJ', 1.0), ('woman,NOUN', 'woman,NOUN', 1.0), ('wearing,VERB', 'wearing,VERB', 1.0), ('top,NOUN', 'pants,NOUN', 0.8, 0.2, 2.0281482472922856, 4)]",[],entailment
11,562353,552517,contradiction,A father and his daughter are riding a lawn mover down a street while dressed in American colors.,two men cut grass by hand,TEST,"[('lawn,NOUN', 'grass,A', 1.0), ('father,NOUN', 'men,NOUN', 0.7058823529411765, 0.25, 2.2512917986064953, 3), ('dressed,VERB', 'cut,VERB', 0.75, 0.3333333333333333, 2.159484249353372, 2), ('mover,NOUN', 'hand,NOUN', 0.8695652173913043, 0.25, 2.2512917986064953, 3)]",[],entailment
12,566709,556873,entailment,"Two men are drumming, one is standing and one is sitting down.",Two people are drumming.,TEST,"[('drumming,VERB', 'drumming,VERB', 1.0), ('men,NOUN', 'people,NOUN', 0.75, 0.3333333333333333, 2.538973871058276, 2)]",[],entailment
13,559873,550031,contradiction,Three men are carrying a red bag into a boat with another person and boat in the background.,A person drives away in a winnebago.,TEST,"[('person,NOUN', 'person,NOUN', 1.0), ('carrying,VERB', 'drives,VERB', 0.75, 0.3333333333333333, 2.159484249353372, 2), ('Three,NUM', 'away,ADV', 0.5, 0.3333333333333333, 0, None), ('person,NOUN', 'winnebago,NOUN', 0.631578947368421, 0.16666666666666666, 1.845826690498331, 5)]",[],neutral
14,565838,556002,neutral,A woman wearing a red coat stands on a wood floor in front of several paintings while two girls sit on the floor at her feet.,Woman takes a break at a museum while her children sit by her feet.,TEST,"[('girls,NOUN', 'woman,H', 1.0), ('woman,NOUN', 'woman,H', 1.0), ('her,PRON', 'her,PRON', 1.0), ('sit,VERB', 'sit,VERB', 1.0), ('her,PRON', 'her,PRON', 1.0), ('feet,NOUN', 'feet,NOUN', 1.0), ('stands,VERB', 'takes,VERB', 0.6, 0.2, 1.6486586255873816, 4), ('feet,NOUN', 'break,NOUN', 0.7272727272727273, 0.14285714285714285, 1.6916760106710724, 6), ('coat,NOUN', 'museum,NOUN', 0.6666666666666666, 0.16666666666666666, 1.845826690498331, 5), ('girls,NOUN', 'children,NOUN', 0.9090909090909091, 0.3333333333333333, 2.538973871058276, 2)]",[],entailment
